trialNumber,timestamp,position,speed,direction
0,1868110.1000000015,0.661,0.2898550724481192,1
0,1868117.1000000015,0.665,0.571428571428572,1
0,1868124,0.667,0.28985507252636517,1
0,1868131,0.671,0.571428571428572,1
0,1868137.9000000004,0.672,0.1449275362240596,1
0,1868144.9000000004,0.675,0.42857142857142894,1
0,1868151.8000000007,0.677,0.2898550724481192,1
0,1868158.7000000011,0.68,0.43478260867217877,1
0,1868165.7000000011,0.681,0.142857142857143,1
0,1868172.6000000015,0.682,0.1449275362240596,1
0,1868179.5,0.683,0.14492753626318258,1
0,1868186.5,0.686,0.42857142857142894,1
0,1868193.5,0.687,0.142857142857143,1
0,1868200.4000000004,0.691,0.5797101448962223,1
0,1868207.4000000004,0.695,0.571428571428572,1
0,1868214.3000000007,0.698,0.43478260867217877,1
0,1868221.2000000011,0.704,0.8695652173443575,1
0,1868228.2000000011,0.711,1.0000000000000009,1
0,1868235.1000000015,0.717,0.8695652173443575,1
0,1868242.1000000015,0.723,0.8571428571428579,1
0,1868249.1000000015,0.73,1.0000000000000009,1
0,1868256,0.738,1.1594202901054607,1
0,1868263,0.744,0.8571428571428579,1
0,1868269.9000000004,0.752,1.1594202897924768,1
0,1868276.8000000007,0.761,1.3043478260165362,1
0,1868283.9000000004,0.771,1.4084507042992531,1
0,1868290.7000000011,0.781,1.4705882351329904,1
0,1868297.7000000011,0.792,1.5714285714285727,1
0,1868304.6000000015,0.802,1.4492753622405958,1
0,1868311.6000000015,0.814,1.7142857142857,1
0,1868318.4000000004,0.828,2.0588235297501365,1
0,1868326.4000000004,0.842,1.7500000000000016,1
0,1868332.9000000004,0.851,1.384615384615386,1
0,1868339.3000000007,0.864,2.0312499998817675,1
0,1868346.4000000004,0.874,1.4084507042992531,1
0,1868353.2000000011,0.883,1.3235294116196914,1
0,1868360.3000000007,0.89,0.9859154930094772,1
0,1868367.2000000011,0.895,0.7246376811202979,1
0,1868374.3000000007,0.9,0.7042253521496266,1
0,1868381.1000000015,0.904,0.5882352940531962,1
0,1868419.5,0.903,0.02604166666767724,-1
0,1868422.6000000015,0.901,0.6451612900124634,-1
0,1868429.7000000011,0.895,0.8450704225795519,-1
0,1868436.6000000015,0.884,1.5942028984646555,-1
0,1868443.5,0.868,2.3188405802109213,-1
0,1868450.4000000004,0.847,3.0434782607052515,-1
0,1868457.4000000004,0.821,3.7142857142857175,-1
0,1868464.3000000007,0.792,4.202898550497712,-1
0,1868471.3000000007,0.763,4.142857142857147,-1
0,1868478.3000000007,0.731,4.571428571428576,-1
0,1868485.2000000011,0.692,5.652173912738324,-1
0,1868492.2000000011,0.663,4.142857142857131,-1
0,1868499.1000000015,0.623,5.797101448962383,-1
0,1868506,0.584,5.652173914264121,-1
0,1868513.1000000015,0.544,5.633802815719001,-1
0,1868519.9000000004,0.505,5.735294118589666,-1
0,1868526.9000000004,0.466,5.5714285714285685,-1
0,1868533.9000000004,0.422,6.285714285714291,-1
0,1868540.8000000007,0.385,5.362318840290197,-1
0,1868547.7000000011,0.349,5.217391304066145,-1
0,1868554.7000000011,0.315,4.857142857142853,-1
0,1868561.6000000015,0.285,4.3478260867217875,-1
0,1868568.5,0.253,4.637681160421835,-1
0,1868576.5,0.229,2.999999999999999,-1
0,1868582.4000000004,0.208,3.559322033673571,-1
0,1868589.4000000004,0.188,2.857142857142856,-1
0,1868596.3000000007,0.17,2.6086956520330684,-1
0,1868603.2000000011,0.156,2.0289855071368343,-1
0,1868610.3000000007,0.145,1.5492957747291785,-1
0,1868617.3000000007,0.133,1.7142857142857117,-1
0,1868624.2000000011,0.123,1.4492753622405958,-1
0,1868631.3000000007,0.116,0.9859154930094752,-1
0,1868638.2000000011,0.108,1.1594202897924768,-1
0,1868645.2000000011,0.102,0.8571428571428579,-1
0,1868652.1000000015,0.096,0.8695652173443555,-1
0,1868659,0.091,0.7246376813159129,-1
0,1868666,0.088,0.42857142857142894,-1
0,1868672.9000000004,0.083,0.7246376811202959,-1
0,1868679.9000000004,0.079,0.571428571428572,-1
0,1868686.7000000011,0.076,0.4411764705398971,-1
0,1868693.8000000007,0.072,0.5633802817197012,-1
0,1868700.7000000011,0.068,0.5797101448962363,-1
0,1868707.5,0.064,0.5882352942143246,-1
0,1868714.6000000015,0.062,0.28169014078595084,-1
0,1868721.3000000007,0.058,0.5970149254395235,-1
0,1868728.6000000015,0.054,0.5479452054235278,-1
0,1868735.6000000015,0.053,0.142857142857143,-1
0,1868742.5,0.049,0.5797101450527293,-1
0,1868749.2000000011,0.048,0.1492537313183876,-1
0,1868756.1000000015,0.047,0.1449275362240596,-1
0,1868763.1000000015,0.044,0.42857142857142894,-1
0,1868769.9000000004,0.042,0.2941176471071613,-1
0,1868777,0.041,0.1408450704299253,-1
0,1868783.9000000004,0.038,0.43478260867217877,-1
0,1868790.8000000007,0.036,0.2898550724481192,-1
0,1868797.8000000007,0.032,0.571428571428571,-1
0,1868804.8000000007,0.03,0.285714285714286,-1
0,1868811.8000000007,0.027,0.42857142857142844,-1
0,1868818.7000000011,0.024,0.4347826086721783,-1
0,1868826.6000000015,0.021,0.3797468354251307,-1
0,1868833.7000000011,0.017,0.5633802817197008,-1
0,1868839.5,0.016,0.1724137931366704,-1
0,1868846.5,0.012,0.5714285714285714,-1
0,1868853.3000000007,0.01,0.2941176470265978,-1
0,1868860.2000000011,0.006,0.5797101448962378,-1
0,1868867.2000000011,0.004,0.2857142857142857,-1
0,1868874.2000000011,0.001,0.42857142857142855,-1
0,1868881.2000000011,0,0.14285714285714285,-1
0,1868943.5,0.001,0.01605136436625905,1
0,1868950.4000000004,0.009,1.1594202897924757,1
0,1868957.5,0.02,1.5492957747291773,1
0,1868964.3000000007,0.038,2.64705882323938,1
0,1868971.3000000007,0.057,2.714285714285715,1
0,1868978.3000000007,0.084,3.8571428571428577,1
0,1868985.2000000011,0.116,4.637681159169903,1
0,1868992.2000000011,0.154,5.428571428571427,1
0,1868999.2000000011,0.192,5.42857142857143,1
0,1869006.1000000015,0.228,5.217391304066141,1
0,1869013.1000000015,0.276,6.857142857142859,1
0,1869020,0.324,6.9565217406327555,1
0,1869027,0.374,7.1428571428571415,1
0,1869034,0.422,6.857142857142855,1
0,1869040.9000000004,0.47,6.956521738754852,1
0,1869047.7000000011,0.514,6.470588234585158,1
0,1869054.6000000015,0.553,5.652173912738324,1
0,1869061.6000000015,0.595,5.999999999999989,1
0,1869068.6000000015,0.631,5.142857142857148,1
0,1869076.5,0.663,4.050632912156448,1
0,1869082.5,0.687,4.0000000000000036,1
0,1869089.4000000004,0.706,2.7536231882571163,1
0,1869096.4000000004,0.723,2.4285714285714306,1
0,1869103.3000000007,0.735,1.739130434688715,1
0,1869110.3000000007,0.743,1.142857142857144,1
0,1869117.2000000011,0.744,0.1449275362240596,1
0,1869124.2000000011,0.745,0.142857142857143,1
0,1869158.7000000011,0.744,0.028985507246376836,-1
0,1869165.7000000011,0.74,0.571428571428572,-1
0,1869172.7000000011,0.73,1.4285714285714297,-1
0,1869179.6000000015,0.715,2.1739130433608937,-1
0,1869186.6000000015,0.696,2.7142857142857166,-1
0,1869193.7000000011,0.671,3.521126760748117,-1
0,1869200.6000000015,0.64,4.492753622945847,-1
0,1869207.5,0.608,4.637681160421843,-1
0,1869214.5,0.569,5.5714285714285765,-1
0,1869221.3000000007,0.531,5.588235293505347,-1
0,1869228.4000000004,0.504,3.8028169016079834,-1
0,1869235.2000000011,0.468,5.294117646478758,-1
0,1869242.2000000011,0.437,4.428571428571432,-1
0,1869249.2000000011,0.413,3.4285714285714315,-1
0,1869256.1000000015,0.392,3.0434782607052435,-1
0,1869263,0.378,2.028985507684556,-1
